Session No.,Clay_Reg,Clay_Max,Clay_perFull,Arthr_Reg,Arthr_Max,Arthr_perFull,Badm_y_Reg,Badm_y_Max,Badm_y_perfull
1,14,14,1.000,13,16,0.8125,8,12,0.6667
2,12,14,0.857,9,16,0.5625,9,12,0.7500
3,14,14,1.000,13,16,0.8125,9,12,0.7500
4,14,14,1.000,10,16,0.6250,12,12,1.0000
5,12,14,0.857,16,16,1.0000,8,12,0.6667
6,14,14,1.000,8,16,0.5000,9,12,0.7500
7,12,14,0.857,15,16,0.9375,5,12,0.4167
8,14,14,1.000,11,16,0.6875,4,8,0.5000
9,14,14,1.000,15,16,0.9375,6,12,0.5000
10,14,14,1.000,11,16,0.6875,11,12,0.9167
11,,,,16,16,1.0000,8,12,0.6667
12,,,,10,16,0.6250,6,8,0.7500
