Sessn No.,Clay_Reg,Clay_Max,Clay_%Full,Arth_Reg,Arth_ Max,Arth_%Full,Badm_y_Reg,Badm_y_Max,Badm_y_%full,Badm_ch_Reg,Badm_ch_Max,Badm_ch_%Full
1,14,14,1,13,16,0.8125,8,12,0.6667,10,12,0.8333
2,12,14,0.857,9,16,0.5625,9,12,0.75,12,12,1
3,14,14,1,13,16,0.8125,9,12,0.75,6,12,0.5
4,14,14,1,10,16,0.625,12,12,1,10,12,0.8333
5,12,14,0.857,16,16,1,8,12,0.6667,5,12,0.4167
6,14,14,1,8,16,0.5,9,12,0.75,11,12,0.9167
7,12,14,0.857,15,16,0.9375,5,12,0.4167,5,12,0.4167
8,14,14,1,11,16,0.6875,4,8,0.5,11,12,0.9167
9,14,14,1,15,16,0.9375,6,12,0.5,11,12,0.9167
10,14,14,1,11,16,0.6875,11,12,0.9167,15,16,0.9375
11,,,,16,16,1,8,12,0.6667,16,16,1
12,,,,10,16,0.625,6,8,0.75,10,12,0.8333
13,,,,,,,,,,12,12,1
14,,,,,,,,,,20,20,1
15,,,,,,,,,,10,12,0.8333
16,,,,,,,,,,10,12,0.8333
17,,,,,,,,,,8,12,0.6667
18,,,,,,,,,,9,12,0.75
19,,,,,,,,,,11,12,0.9167
20,,,,,,,,,,12,12,1
21,,,,,,,,,,8,12,0.6667
22,,,,,,,,,,12,12,1
23,,,,,,,,,,11,12,0.9167
24,,,,,,,,,,6,12,0.5
25,,,,,,,,,,7,12,0.5833
26,,,,,,,,,,11,12,0.9167
27,,,,,,,,,,19,20,0.95
28,,,,,,,,,,11,12,0.9167
29,,,,,,,,,,12,12,1
30,,,,,,,,,,8,12,0.6667
31,,,,,,,,,,6,12,0.5
32,,,,,,,,,,8,12,0.6667
33,,,,,,,,,,11,12,0.9167
34,,,,,,,,,,9,12,0.75
35,,,,,,,,,,16,16,1
36,,,,,,,,,,12,12,1
37,,,,,,,,,,12,12,1
38,,,,,,,,,,10,12,0.8333
39,,,,,,,,,,12,12,1
40,,,,,,,,,,11,12,0.9167
41,,,,,,,,,,6,12,0.5
42,,,,,,,,,,10,12,0.8333
43,,,,,,,,,,4,12,0.3333
