class,reg_no.
summer_reg,8
summer_reg,12
summer_reg,13
summer_reg,7
summer_reg,8
summer_reg,10
summer_reg,13
summer_reg,9
summer_reg,19
summer_reg,13
summer_reg,10
summer_reg,11
summer_reg,11
summer_reg,13
summer_reg,11
summer_reg,10
summer_reg,18
summer_reg,11
summer_reg,18
summer_reg,10
summer_reg,17
summer_reg,4
summer_reg,15
summer_reg,8
summer_reg,12
summer_reg,12
summer_reg,7
summer_reg,18
summer_reg,6
summer_reg,19
summer_reg,6
summer_reg,1
summer_reg,2
spring_reg,4
spring_reg,4
spring_reg,5
spring_reg,5
spring_reg,4
spring_reg,4
spring_reg,13
spring_reg,3
spring_reg,3
spring_reg,7
spring_reg,4
spring_reg,1
spring_reg,0
spring_reg,18
spring_reg,20
spring_reg,18
spring_reg,21
spring_reg,17
spring_reg,19
spring_reg,16
spring_reg,20
spring_reg,20
spring_reg,20
spring_reg,20
spring_reg,18
spring_reg,20
spring_reg,18
spring_reg,20
spring_reg,10
spring_reg,19
spring_reg,13
spring_reg,19
spring_reg,16
spring_reg,19
spring_reg,18
spring_reg,18
spring_reg,20
spring_reg,16
spring_reg,19
spring_reg,20
spring_reg,18
spring_reg,13
spring_reg,19
spring_reg,18
spring_reg,20
spring_reg,19
spring_reg,20
spring_reg,20
spring_reg,20
spring_reg,11
spring_reg,17
spring_reg,19
spring_reg,15
spring_reg,9
spring_reg,15
spring_reg,15
spring_reg,14
spring_reg,12
spring_reg,16
spring_reg,20
spring_reg,9
spring_reg,16
spring_reg,20
spring_reg,20
spring_reg,11
spring_reg,19
spring_reg,3
