osteo_reg,osteo_max,badm_c_reg,badm_c_max
5,18,10,12
8,14,12,12
7,18,6,12
9,14,10,12
12,18,5,12
8,14,11,12
9,18,5,12
8,14,11,12
7,14,11,12
10,18,15,16
7,18,16,16
8,14,10,12
6,14,12,12
6,18,20,20
4,18,10,12
4,14,10,12
7,18,8,12
5,14,9,12
6,16,11,12
6,18,12,12
7,16,8,12
7,14,12,12
8,18,11,12
14,14,6,12
4,16,7,12
3,16,11,12
6,18,19,20
8,14,11,12
13,14,12,12
8,18,8,12
4,16,6,12
3,16,8,12
10,14,11,12
7,18,9,12
7,16,16,16
9,18,12,12
12,14,12,12
4,16,10,12
,,12,12
,,11,12
,,6,12
,,10,12
,,4,12
